Test Case,Fault,Command
t752,[],"-P [""\(1\)^"" ../inputs/grep1.dat]"
t753,[],-P ['\$' ../inputs/grep1.dat]
t754,[],-P ['if\$' ../inputs/grep1.dat]
t755,[],-P ['main\$' ../inputs/grep1.dat]
t757,[],-P ['if$' ../inputs/grep1.dat]
t758,[],-P ['main$' ../inputs/grep1.dat]
t759,[],-P ['$if' ../inputs/grep1.dat]
t760,[],-P ['if$if' ../inputs/grep1.dat]
t761,[],-P ['if$else' ../inputs/grep1.dat]
t762,[],"-P ["">"" ../inputs/grep1.dat]"
t763,[],"-P [""1>"" ../inputs/grep1.dat]"
t764,[],"-P [""1>a"" ../inputs/grep1.dat]"
t765,[],"-P [""B"" ../inputs/grep1.dat]"
t766,[],"-P [""ABCDE"" ../inputs/grep1.dat]"
t768,[],"-P [""*"" ../inputs/grep1.dat]"
t769,[],"-P [""*a"" ../inputs/grep1.dat]"
t770,[],"-P [""*\(abcde\)"" ../inputs/grep1.dat]"
t771,[],"-P [""\+"" ../inputs/grep1.dat]"
t772,[],"-P [""1\+"" ../inputs/grep1.dat]"
t774,[],"-P [""+"" ../inputs/grep1.dat]"
t775,[],"-P [""+if"" ../inputs/grep1.dat]"
t776,[],"-P [""+else"" ../inputs/grep1.dat]"
t777,[],"-P [""{"" ../inputs/grep1.dat]"
t778,[],"-P [""if{"" ../inputs/grep1.dat]"
t779,[],"-P [""else{"" ../inputs/grep1.dat]"
t780,[],"-P [""1\{10,11\}2"" ../inputs/grep1.dat]"
t781,[],"-P [""a\{10,11\}b"" ../inputs/grep1.dat]"
t782,[],"-P [""if\{10,11\}else"" ../inputs/grep1.dat]"
t783,[],"-P [""\."" ../inputs/grep1.dat]"
t784,[],"-P [""1\.a"" ../inputs/grep1.dat]"
t785,[],"-P [""if\.else"" ../inputs/grep1.dat]"
t786,[],"-P [""\["" ../inputs/grep1.dat]"
t787,[],"-P [""if\["" ../inputs/grep1.dat]"
t788,[],"-P [""if\[else"" ../inputs/grep1.dat]"
t791,[],"-P [-i ""if[Xx5\]"" ../inputs/grep1.dat]"
t792,[],-P [-X grep 12345 ../inputs/grep1.dat]
t793,[],-P [-X grep abcde ../inputs/grep1.dat]
t795,[],-P [-e 1 -e 2 ../inputs/grep1.dat]
t807,[],"-P [""\(\a|b*\|c\?|d\+\)\{1\}"" ../inputs/grep1.dat]"
t808,[],"-P [""\(\if|else*\|for\?|while\+\)\{1\}"" ../inputs/grep1.dat]"
t809,[],"-P [""\(\do|12345*\|main\?|A\+\)\{1\}"" ../inputs/grep1.dat]"
